ID,Название,Автор,Жанр,Страниц,Рейтинг
1,1984,Джордж Оруэлл,Фантастика,328,4.8
2,Мастер и Маргарита,Михаил Булгаков,Роман,480,4.9
3,Три товарища,Эрих Мария Ремарк,Роман,480,4.7
4,Преступление и наказание,Фёдор Достоевский,Классика,671,4.6
5,Алиса в Стране чудес,Льюис Кэрролл,Сказка,192,4.5
6,Собачье сердце,Михаил Булгаков,Сатира,176,4.8
7,Гарри Поттер и философский камень,Дж. К. Роулинг,Фэнтези,320,4.9
8,"Трое в лодке, не считая собаки",Джером К. Джером,Приключения,230,4.6
9,Война и мир,Лев Толстой,Роман,1225,4.4
10,Отцы и дети,Иван Тургенев,Классика,400,4.3
11,Чистый код,Роберт Мартин,Программирование,464,4.9
12,Python. К вершинам мастерства,Люси О’Брайен,Программирование,512,4.8
13,Дюна,Фрэнк Герберт,Фантастика,896,4.9
14,Цветы для Элджернона,Дэниел Киз,Фантастика,311,4.8
15,Пикник на обочине,Аркадий и Борис Стругацкие,Фантастика,328,4.7
