ID,Название,Автор,Жанр,Страниц,Рейтинг
1,"The Old Man and the Sea",Ernest Hemingway,Classic,128,4.5
2,"Трое в лодке, не считая собаки",Джером К. Джером,Приключения,230,4.6
3,"Les Misérables",Victor Hugo,Drama,1232,4.8
4,"Cien años de soledad",Gabriel García Márquez,Magic realism,417,4.7
5,"Crime and Punishment",Fyodor Dostoevsky,Classic,671,4.9
6,"Гарри Поттер и философский камень",Дж. К. Роулинг,Фэнтези,320,4.9
7,"The Hitchhiker's Guide to the Galaxy",Douglas Adams,Comedy,224,4.9
8,"Мастер и Маргарита",Михаил Булгаков,Роман,480,4.9
9,"To Kill a Mockingbird",Harper Lee,Drama,281,4.8
10,"One Hundred Years of Solitude",Gabriel García Márquez,Magic realism,417,4.7
11,"Alice's Adventures in Wonderland",Lewis Carroll,Fantasy,192,4.5
12,"Тень ветра, или Лабиринт забытых книг",Карлос Руис Сафон,Мистика,480,4.8
13,"Fahrenheit 451",Ray Bradbury,Science Fiction,256,4.7
14,"The Catcher in the Rye",J.D. Salinger,Classic,277,4.3
15,"Brave New World",Aldous Huxley,Science Fiction,311,4.4
